origin,product,perc,sum_kg_product,category
BARCELONA,COL CHINA,0.02,1118,Verdura
BARCELONA,COLES,0,44,Verdura
BARCELONA,COLES-REPOLLO,0.12,8158,Verdura
BARCELONA,COLIFLOR,0.05,3700,Verdura
BARCELONA,CONEJO,0.2,13580,Pollo
BARCELONA,CONGELADOS,0.68,46740,Verdura
BARCELONA,CONSERVAS,0.01,500,Pescado
BARCELONA,COQUINAS,0,306,Marisco
BARCELONA,CORVINA,0.02,1380,Pescado
BARCELONA,CROQUETAS,0.02,1144,Pescado congelado
BARCELONA,CUARTA,0.05,3470,Verdura
BARCELONA,DORADA,0.76,52847,Pescado
BARCELONA,ELABORADOS,3.61,249616,Pescado congelado
BARCELONA,ELABORADOS,0.05,3240,Verdura
BARCELONA,EMPANADILLAS,0.02,1316,Pescado congelado
BARCELONA,EQUINO,0.03,1940,Carne
BARCELONA,ESCAROLAS,0.09,6000,Verdura
BARCELONA,GAMBA,0.03,2000,Pescado congelado
BARCELONA,GAMBAS,0.04,2764,Marisco
BARCELONA,HUEVOS,0.15,10380,Huevos
BARCELONA,JIBIA,0,100,Pescado
BARCELONA,JIBIA,0.06,4000,Pescado congelado
BARCELONA,JUREL,0.01,892,Pescado
BARCELONA,LANGOSTINO,0,52,Marisco
BARCELONA,LANGOSTINO,0.19,13048,Pescado congelado
BARCELONA,LECHUGA,0.07,4880,Verdura
BARCELONA,LIBA,0.01,750,Pescado
BARCELONA,LUBINA,0.56,38767,Pescado
BARCELONA,MANGOS,0.09,6280,Fruta
BARCELONA,MANZANA,3.39,234640,Fruta
BARCELONA,MEJILLON,0,175,Marisco
BARCELONA,MERLUZA,0.58,40040,Pescado congelado
BARCELONA,MUSLITOS,0.01,572,Pescado congelado
BARCELONA,OSTRA,0,56,Marisco
BARCELONA,OVINO,2.51,173580,Carne
BARCELONA,PALITOS,0.02,1430,Pescado congelado
BARCELONA,PALOMETA,0.27,18560,Pescado congelado
BARCELONA,PANCHITO,0.11,7731,Fruta
BARCELONA,PARAGUAYAS,0.09,6000,Fruta
BARCELONA,PATATA,0.12,8000,Patata
BARCELONA,PAVO,0.56,38500,Pollo
BARCELONA,PERA,1.1,76300,Fruta
BARCELONA,PERDIZ,0.07,5000,Pollo
BARCELONA,PESCADILLA,0.01,456,Pescado
BARCELONA,PEZ ESPADA,0.06,4254,Pescado
BARCELONA,PISTACHO,0.07,4639,Fruta
BARCELONA,POLLO,5.41,373832,Pollo
BARCELONA,PORCINO,30.04,2076340,Carne
BARCELONA,PULPO,0.39,27120,Pescado congelado
BARCELONA,RABANOS,0.12,8000,Verdura
BARCELONA,SALMON,0.03,2000,Pescado congelado
BARCELONA,SARDINA,0.06,4090,Pescado
BARCELONA,VACUNO,38.36,2651868,Carne
BARCELONA,VARIOS,0.09,6500,Varios
BURGOS,ACELGAS,0.01,440,Verdura
BURGOS,AJO TIERNO,0,12,Verdura
BURGOS,AJOS,0,388,Verdura
BURGOS,AÑOJO,0.97,77860,Carne
BURGOS,CEBOLLA,0.48,38680,Verdura
BURGOS,COL,0.02,1360,Verdura
BURGOS,COLIFLOR,0.04,3600,Verdura
BURGOS,CONGELADOS,0.01,800,Verdura
BURGOS,CUARTA,0.52,41480,Verdura
BURGOS,ELABORADOS,0.5,40420,Pescado congelado
BURGOS,ELABORADOS,0.02,1320,Verdura
BURGOS,ESCAROLAS,0.21,16960,Verdura
BURGOS,ESPARRAGO,0.28,22580,Verdura
BURGOS,HUEVOS,0.01,700,Huevos
BURGOS,LANGOSTINO,0.76,60760,Pescado congelado
BURGOS,LECHUGA,0.42,33440,Verdura
BURGOS,OVINO,0.32,25786,Carne
BURGOS,PATATA,75.71,6085015,Patata
BURGOS,PAVO,0.06,5200,Pollo
BURGOS,PEREJIL,0,100,Verdura
BURGOS,PIMIENTO,0.07,6000,Verdura
BURGOS,POLLO,4.79,385054,Pollo
BURGOS,PORCINO,7.69,617897,Carne
BURGOS,PUERROS,0.07,6000,Verdura
BURGOS,VACUNO,6.94,557440,Carne
BURGOS,ZANAHORIA,0.1,8000,Verdura
CACERES,AJO TIERNO,0,232,Verdura
